order_item_id,order_id,product_id,quantity,unit_price,discount,is_return,is_sale,discount_valid,discount_for_calculation,gross_revenue,net_revenue,sales_revenue,return_value
1,1,272,3,5.69,0.15,False,True,True,0.15,17.07,14.5095,14.5095,0.0
2,1,300,-1,133.29,0.15,True,False,True,0.15,-133.29,-113.2965,0.0,113.2965
3,1,273,1,560.24,0.0,False,True,True,0.0,560.24,560.24,560.24,0.0
4,2,11,1,216.27,0.0,False,True,True,0.0,216.27,216.27,216.27,0.0
5,2,239,3,517.8,0.15,False,True,True,0.15,1553.3999999999999,1320.3899999999999,1320.3899999999999,0.0
6,3,58,1,87.55,0.0,False,True,True,0.0,87.55,87.55,87.55,0.0
7,3,70,1,402.01,0.0,False,True,True,0.0,402.01,402.01,402.01,0.0
8,3,65,1,460.75,0.0,False,True,True,0.0,460.75,460.75,460.75,0.0
9,3,279,2,226.81,0.0,False,True,True,0.0,453.62,453.62,453.62,0.0
10,3,174,1,864.84,0.0,False,True,True,0.0,864.84,864.84,864.84,0.0
11,4,106,1,150.04,0.1,False,True,True,0.1,150.04,135.036,135.036,0.0
12,4,46,1,397.56,0.05,False,True,True,0.05,397.56,377.68199999999996,377.68199999999996,0.0
13,5,173,1,587.7,0.1,False,True,True,0.1,587.7,528.9300000000001,528.9300000000001,0.0
14,5,13,2,152.16,0.05,False,True,True,0.05,304.32,289.104,289.104,0.0
15,5,85,2,530.7,0.1,False,True,True,0.1,1061.4,955.2600000000001,955.2600000000001,0.0
16,6,276,1,341.21,0.0,False,True,True,0.0,341.21,341.21,341.21,0.0
17,6,14,1,90.93,0.2,False,True,True,0.2,90.93,72.74400000000001,72.74400000000001,0.0
18,7,44,1,6.81,0.0,False,True,True,0.0,6.81,6.81,6.81,0.0
19,8,40,1,171.89,0.1,False,True,True,0.1,171.89,154.701,154.701,0.0
20,8,22,1,205.71,0.0,False,True,True,0.0,205.71,205.71,205.71,0.0
21,8,240,1,555.47,0.0,False,True,True,0.0,555.47,555.47,555.47,0.0
23,8,134,2,541.79,0.0,False,True,True,0.0,1083.58,1083.58,1083.58,0.0
24,9,194,1,222.76,0.0,False,True,True,0.0,222.76,222.76,222.76,0.0
25,10,188,1,550.0,0.0,False,True,True,0.0,550.0,550.0,550.0,0.0
26,10,22,1,205.71,0.0,False,True,True,0.0,205.71,205.71,205.71,0.0
27,10,209,1,797.01,0.0,False,True,True,0.0,797.01,797.01,797.01,0.0
28,11,270,1,34872.0,0.0,False,True,True,0.0,34872.0,34872.0,34872.0,0.0
29,11,25,3,282.92,0.1,False,True,True,0.1,848.76,763.884,763.884,0.0
30,11,271,1,756.22,0.0,False,True,True,0.0,756.22,756.22,756.22,0.0
31,12,91,1,369.86,0.0,False,True,True,0.0,369.86,369.86,369.86,0.0
32,12,128,1,686.4,0.0,False,True,True,0.0,686.4,686.4,686.4,0.0
33,12,271,1,756.22,0.0,False,True,True,0.0,756.22,756.22,756.22,0.0
34,12,34,1,399.8,0.0,False,True,True,0.0,399.8,399.8,399.8,0.0
35,12,88,1,275.21,0.05,False,True,True,0.05,275.21,261.44949999999994,261.44949999999994,0.0
36,13,215,2,501.1,0.0,False,True,True,0.0,1002.2,1002.2,1002.2,0.0
37,14,129,1,492.47,0.15,False,True,True,0.15,492.47,418.59950000000003,418.59950000000003,0.0
38,14,150,3,182.12,0.05,False,True,True,0.05,546.36,519.042,519.042,0.0
39,14,192,2,697.79,0.1,False,True,True,0.1,1395.58,1256.022,1256.022,0.0
40,14,207,2,518.71,0.05,False,True,True,0.05,1037.42,985.549,985.549,0.0
41,14,279,1,226.81,0.0,False,True,True,0.0,226.81,226.81,226.81,0.0
42,15,144,2,299.76,0.0,False,True,True,0.0,599.52,599.52,599.52,0.0
43,15,272,1,5.69,0.15,False,True,True,0.15,5.69,4.8365,4.8365,0.0
44,16,142,1,717.32,0.2,False,True,True,0.2,717.32,573.8560000000001,573.8560000000001,0.0
45,16,32,1,338.4,0.0,False,True,True,0.0,338.4,338.4,338.4,0.0
46,17,182,1,500.91,0.0,False,True,True,0.0,500.91,500.91,500.91,0.0
47,18,47,1,513.39,0.0,False,True,True,0.0,513.39,513.39,513.39,0.0
48,18,64,1,29.71,0.05,False,True,True,0.05,29.71,28.2245,28.2245,0.0
50,19,40,3,171.89,0.15,False,True,True,0.15,515.67,438.31949999999995,438.31949999999995,0.0
51,19,259,1,533.22,0.2,False,True,True,0.2,533.22,426.576,426.576,0.0
52,19,49,1,850.7,0.0,False,True,True,0.0,850.7,850.7,850.7,0.0
53,19,283,1,680.49,0.0,False,True,True,0.0,680.49,680.49,680.49,0.0
54,20,172,2,104.56,0.0,False,True,True,0.0,209.12,209.12,209.12,0.0
55,20,269,3,603.81,0.0,False,True,True,0.0,1811.4299999999998,1811.4299999999998,1811.4299999999998,0.0
56,21,62,3,244.7,0.15,False,True,True,0.15,734.0999999999999,623.9849999999999,623.9849999999999,0.0
57,21,110,1,52.92,0.05,False,True,True,0.05,52.92,50.274,50.274,0.0
58,21,30,1,477.17,0.05,False,True,True,0.05,477.17,453.31149999999997,453.31149999999997,0.0
59,22,204,1,578.66,0.0,False,True,True,0.0,578.66,578.66,578.66,0.0
60,23,259,1,533.22,0.0,False,True,True,0.0,533.22,533.22,533.22,0.0
61,23,173,1,587.7,0.0,False,True,True,0.0,587.7,587.7,587.7,0.0
62,23,151,1,625.19,0.0,False,True,True,0.0,625.19,625.19,625.19,0.0
63,23,22,2,205.71,0.05,False,True,True,0.05,411.42,390.849,390.849,0.0
64,23,173,1,587.7,0.15,False,True,True,0.15,587.7,499.545,499.545,0.0
65,24,10,3,309.24,0.15,False,True,True,0.15,927.72,788.562,788.562,0.0
66,24,29,1,103.82,0.0,False,True,True,0.0,103.82,103.82,103.82,0.0
67,25,38,1,364.99,0.05,False,True,True,0.05,364.99,346.7405,346.7405,0.0
68,25,90,2,219.22,0.0,False,True,True,0.0,438.44,438.44,438.44,0.0
69,25,27,2,686.85,0.0,False,True,True,0.0,1373.7,1373.7,1373.7,0.0
70,26,288,1,515.26,0.0,False,True,True,0.0,515.26,515.26,515.26,0.0
71,26,269,2,603.81,0.0,False,True,True,0.0,1207.62,1207.62,1207.62,0.0
72,27,230,2,829.69,0.0,False,True,True,0.0,1659.38,1659.38,1659.38,0.0
73,27,282,1,280.61,0.0,False,True,True,0.0,280.61,280.61,280.61,0.0
74,27,109,1,59.23,0.0,False,True,True,0.0,59.23,59.23,59.23,0.0
