product_id,product_name,recommended_product_id,recommended_product_name,similarity,rank
1,Black Camera,184,Important Cycling,0.10985884360051026,1
1,Black Camera,244,Thus Supplement,0.10908244628454697,2
1,Black Camera,90,Group Furniture,0.10892674246631687,3
1,Black Camera,97,Black Appliance,0.10892674246631687,4
1,Black Camera,293,Almost Non-Fiction,0.10787924283421141,5
2,Maintain Laptop,132,Set Men,0.11308055883843512,1
2,Maintain Laptop,95,They Appliance,0.097742849999775,2
2,Maintain Laptop,149,Move Kid,0.09401267913629437,3
2,Maintain Laptop,257,Minute Children,0.09150522248280035,4
2,Maintain Laptop,164,Great Team Sport,0.08547043234472847,5
3,Start Accessorie,208,Series Skincare,0.12773991505582338,1
3,Start Accessorie,68,Bar Appliance,0.126612545266936,2
3,Start Accessorie,194,Quickly Fitnes,0.09316051410668053,3
3,Start Accessorie,34,Television Laptop,0.09100891931116016,4
3,Start Accessorie,71,Green Furniture,0.08898624633166125,5
4,Movement Headphone,62,Key Furniture,0.1346301159669267,1
4,Movement Headphone,243,Son Personal Care,0.09550718099505201,2
4,Movement Headphone,221,Response Haircare,0.08385357276567294,3
4,Movement Headphone,220,Run Skincare,0.08108108108108109,4
4,Movement Headphone,3,Start Accessorie,0.08057161971532291,5
5,Yeah Smartphone,231,Food Personal Care,0.1562584777949657,1
5,Yeah Smartphone,206,Office Skincare,0.11797256364594218,2
5,Yeah Smartphone,89,Prepare Cookware,0.11144872044926164,3
5,Yeah Smartphone,243,Son Personal Care,0.10216723706696247,4
5,Yeah Smartphone,41,Rest Smartphone,0.1015346165133619,5
6,Important Laptop,115,Quickly Footwear,0.10629880069054679,1
6,Important Laptop,53,Student Decor,0.08547320749391973,2
6,Important Laptop,283,Strategy Children,0.07762966796527761,3
6,Important Laptop,79,Hand Furniture,0.06601782722034923,4
6,Important Laptop,272,Pass Children,0.06542238933157164,5
7,Beyond Accessorie,189,Message Team Sport,0.1033442541875612,1
7,Beyond Accessorie,174,Social Cycling,0.10173876502210512,2
7,Beyond Accessorie,117,White Men,0.08163454198450779,3
7,Beyond Accessorie,43,A Laptop,0.08108108108108109,4
7,Beyond Accessorie,191,Yeah Camping,0.07830153977496951,5
8,Plant Smartphone,223,Sense Supplement,0.11986582537134602,1
8,Plant Smartphone,20,Arm Accessorie,0.1032537456883155,2
8,Plant Smartphone,118,During Men,0.09903751369442765,3
8,Plant Smartphone,76,Cover Furniture,0.09383021146734068,4
8,Plant Smartphone,197,Own Camping,0.09091496112450458,5
9,Right Laptop,101,Cut Women,0.17444514138887413,1
9,Right Laptop,242,Huge Personal Care,0.13114949909639226,2
9,Right Laptop,218,Month Supplement,0.12045301395742894,3
9,Right Laptop,200,White Fitnes,0.10079509744568747,4
9,Right Laptop,128,Pretty Kid,0.09719410299611789,5
10,After Laptop,13,Support Headphone,0.09158437663089954,1
10,After Laptop,245,Throughout Personal Care,0.07381732441968658,2
10,After Laptop,80,Success Furniture,0.07209372509105906,3
10,After Laptop,129,Direction Kid,0.06906138832741963,4
10,After Laptop,263,Way Media,0.06839411288813299,5
11,Change Smartphone,277,Your Non-Fiction,0.12638645090216205,1
11,Change Smartphone,142,Card Footwear,0.10058358144442509,2
11,Change Smartphone,285,Foot Children,0.0816118835554315,3
11,Change Smartphone,100,Sea Appliance,0.07992898356345547,4
11,Change Smartphone,93,Fear Appliance,0.07694442171660333,5
12,Get Smartphone,78,Unit Cookware,0.12496384670929443,1
12,Get Smartphone,212,Another Personal Care,0.1179320441312158,2
12,Get Smartphone,137,Particular Kid,0.10175966581017658,3
12,Get Smartphone,186,Along Fitnes,0.09905360646879093,4
12,Get Smartphone,37,Executive Laptop,0.09078412990032038,5
13,Support Headphone,164,Great Team Sport,0.11489312875225723,1
13,Support Headphone,276,Recently Non-Fiction,0.11134763237000268,2
13,Support Headphone,259,Hundred Fiction,0.10380684981717495,3
13,Support Headphone,85,Event Furniture,0.0962498036572848,4
13,Support Headphone,119,Reflect Kid,0.09193289141911526,5
14,Find Headphone,99,Level Decor,0.14547859349066158,1
14,Find Headphone,127,Research Footwear,0.13446321855011928,2
14,Find Headphone,161,Between Fitnes,0.12182898077463454,3
14,Find Headphone,63,Song Appliance,0.09583148474999098,4
14,Find Headphone,52,Still Cookware,0.08451542547285167,5
15,Sea Headphone,216,Effort Supplement,0.1552647508520297,1
15,Sea Headphone,147,Later Women,0.10720616164299941,2
15,Sea Headphone,293,Almost Non-Fiction,0.0948840144095737,3
15,Sea Headphone,107,Appear Women,0.08400268812903089,4
15,Sea Headphone,153,Feel Cycling,0.08400268812903088,5
16,Yes Smartphone,157,First Camping,0.08912638665334599,1
16,Yes Smartphone,53,Student Decor,0.07918075824648958,2
16,Yes Smartphone,223,Sense Supplement,0.07865665062071159,3
16,Yes Smartphone,215,Want Supplement,0.07370533237637095,4
16,Yes Smartphone,230,Fight Supplement,0.06741998624632421,5
17,Light Laptop,202,Thank Skincare,0.14376960117634727,1
17,Light Laptop,188,Involve Fitnes,0.1318265717213341,2
17,Light Laptop,104,Major Men,0.12490366087200802,3
17,Light Laptop,172,Half Team Sport,0.10832372170111784,4
17,Light Laptop,255,Activity Non-Fiction,0.10363424654308592,5
18,Rest Camera,156,Occur Camping,0.1527830828380352,1
18,Rest Camera,186,Along Fitnes,0.1375047745542317,2
18,Rest Camera,256,Baby Non-Fiction,0.11095900821829636,3
18,Rest Camera,23,Cost Headphone,0.10694815798662463,4
18,Rest Camera,77,What Furniture,0.10613237065158375,5
19,Improve Smartphone,166,Power Fitnes,0.14484136487558028,1
19,Improve Smartphone,108,Word Men,0.11941628680530642,2
19,Improve Smartphone,143,Writer Women,0.09949366763261819,3
19,Improve Smartphone,23,Cost Headphone,0.09304842103984708,4
19,Improve Smartphone,71,Green Furniture,0.0903244604661891,5
20,Arm Accessorie,171,Her Camping,0.13760116767827066,1
20,Arm Accessorie,277,Your Non-Fiction,0.12551092808470127,2
20,Arm Accessorie,81,Real Furniture,0.10702313041643274,3
20,Arm Accessorie,8,Plant Smartphone,0.1032537456883155,4
20,Arm Accessorie,101,Cut Women,0.10016708449412667,5
21,Right Camera,299,Know Non-Fiction,0.14789374180876608,1
21,Right Camera,58,Artist Appliance,0.11488916405585826,2
21,Right Camera,27,Into Laptop,0.10272767854485403,3
21,Right Camera,158,Produce Cycling,0.09289773523888238,4
21,Right Camera,40,Because Laptop,0.08868656394326552,5
22,Scientist Smartphone,137,Particular Kid,0.1540912490371446,1
22,Scientist Smartphone,101,Cut Women,0.14008295367013143,2
22,Scientist Smartphone,254,Them Children,0.13498731178900975,3
22,Scientist Smartphone,102,Three Women,0.12626906806902635,4
